Month,Los Angeles Dollars per Gallon,San Francisco Dollars per Gallon,Year, LA Yearly Average Gasoline Price ,SF Yearly Average Gasoline Price
18-Jan,3.371,3.277,2018, $3.58 , $3.63 
18-Feb,3.523,3.424,2019, $3.66 , $3.76 
18-Mar,3.567,3.527,2020, $3.12 , $3.26 
18-Apr,3.655,3.696,2021, $4.07 , $4.23 
18-May,3.703,3.77,2022, $5.38 , $5.52 
18-Jun,3.671,3.765,2023, $4.89 , $4.91 
18-Jul,3.592,3.717,,,
18-Aug,3.551,3.636,,,
18-Sep,3.584,3.662,,,
18-Oct,3.775,3.826,,,
18-Nov,3.622,3.719,,,
18-Dec,3.346,3.515,,,
19-Jan,3.206,3.392,,,
19-Feb,3.242,3.349,,,
19-Mar,3.335,3.442,,,
19-Apr,3.903,3.949,,,
19-May,3.978,4.117,,,
19-Jun,3.753,3.893,,,
19-Jul,3.65,3.763,,,
19-Aug,3.528,3.642,,,
19-Sep,3.691,3.741,,,
19-Oct,4.098,4.173,,,
19-Nov,3.93,3.998,,,
19-Dec,3.607,3.668,,,
20-Jan,3.499,3.56,,,
20-Feb,3.474,3.53,,,
20-Mar,3.284,3.314,,,
20-Apr,2.84,2.936,,,
20-May,2.769,2.902,,,
20-Jun,2.96,3.075,,,
20-Jul,3.083,3.22,,,
20-Aug,3.126,3.318,,,
20-Sep,3.137,3.335,,,
20-Oct,3.102,3.304,,,
20-Nov,3.059,3.295,,,
20-Dec,3.096,3.331,,,
21-Jan,3.231,3.413,,,
21-Feb,3.453,3.506,,,
21-Mar,3.788,3.867,,,
21-Apr,3.901,4.022,,,
21-May,4.052,4.205,,,
21-Jun,4.159,4.333,,,
21-Jul,4.237,4.376,,,
21-Aug,4.276,4.465,,,
21-Sep,4.277,4.447,,,
21-Oct,4.369,4.581,,,
21-Nov,4.552,4.815,,,
21-Dec,4.562,4.776,,,
22-Jan,4.563,4.75,,,
22-Feb,4.658,4.816,,,
22-Mar,5.695,5.746,,,
22-Apr,5.72,5.746,,,
22-May,5.849,6.015,,,
22-Jun,6.257,6.416,,,
22-Jul,5.874,6.001,,,
22-Aug,5.273,5.537,,,
22-Sep,5.324,5.553,,,
22-Oct,5.86,6.016,,,
22-Nov,5.142,5.197,,,
22-Dec,4.398,4.474,,,
Jan-23,4.371,4.429,,,
Feb-23,4.598,4.628,,,
Mar-23,4.792,4.824,,,
Apr-23,4.777,4.812,,,
May-23,4.739,4.755,,,
Jun-23,4.795,4.791,,,
Jul-23,4.846,4.82,,,
Aug-23,5.159,5.148,,,
Sep-23,5.591,5.49,,,
Oct-23,5.562,5.529,,,
Nov-23,4.894,5.031,,,
Dec-23,4.538,4.619,,,
Jan-24,4.461,4.609,,,
Feb-24,4.59,4.517,,,
